date,AAPL,AMZN,GOOG,META,MSFT,NVDA,UNH
2022-08-19,169.4583845325,138.23,117.8288144029,167.4575199359,280.756045471,17.8271424056,530.5573071537
2022-08-22,165.5558622675,133.22,114.7863331641,162.5622090113,272.5143862645,17.0131404413,526.9287874903
2022-08-23,165.2199489586,133.62,114.4870727143,160.6280128416,271.2290798882,17.1599604275,518.4428895042
2022-08-24,165.5163430547,133.8,114.4172452761,162.7715807617,270.5913324496,17.2009102196,519.081508965
2022-08-25,167.9862938553,137.28,117.4098497733,168.2750667705,273.5936511606,17.8910640322,524.0259717596
2022-08-26,161.6533400024,130.75,111.0256268459,161.296008426,263.0364781769,16.2400882691,512.1050751589
2022-08-29,159.440264085,129.79,110.0679934068,158.6938166718,260.2303894471,15.781650353,512.6082298855
2022-08-30,156.9999526939,128.73,109.6390534289,156.6898299186,258.0129906605,15.4490581394,505.9027255476
2022-08-31,155.3302659527,126.77,108.8809269563,162.4425680112,256.5412658022,15.0755161337,502.5064311426
2022-09-01,156.0613713897,127.82,110.2774757216,164.8652982651,255.4914354033,13.919932977,507.0251476301
2022-09-02,153.9372137011,127.51,108.412085585,159.840376257,251.2332448132,13.6302881063,499.6229675168
2022-09-06,152.6725988912,126.11,107.2150437862,158.0657014208,248.4762135787,13.4485109805,500.9098824908
2022-09-07,154.0854107492,129.48,110.2076482834,159.9101668404,253.2249791215,13.7012011608,504.780303465
2022-09-08,152.6034402688,129.82,109.150261361,161.5751707598,253.6468735809,13.9769435788,510.421442035
2022-09-09,155.4784630007,133.27,111.5044435655,168.6439598545,259.4749040198,14.3735730714,508.9506820648
2022-09-12,161.4656237416,136.45,111.5942217004,168.4545282708,261.6236223129,14.4914629457,515.6578743696
2022-09-13,151.9908924702,126.82,105.0503931999,152.6718863288,247.2399646977,13.1187452562,498.875333856
2022-09-14,153.443223541,128.55,105.609012706,151.0168524928,247.465629176,13.115748056,494.808309868
2022-09-15,150.5385613994,126.28,103.6438690862,149.1025964897,240.754563822,12.9169337763,507.5626523983
2022-09-16,148.8886342645,123.53,103.3745346814,145.8523493178,240.1266278825,13.1856827272,505.7281236782
2022-09-19,152.6231998752,124.66,103.5939923446,147.5771737373,239.9107749033,13.3695110059,508.1838684728
2022-09-20,155.0141122502,122.19,101.5789719831,145.6529476508,237.8797945988,13.1637032591,507.4558808855
2022-09-21,151.8723348318,118.54,99.7634585881,141.6948245611,234.4457699294,13.2486239313,497.050511637
2022-09-22,150.9041141179,117.31,100.3220780943,142.3927303956,236.4375042377,12.549277219,502.2726092636
2022-09-23,148.6218795781,113.78,98.9255293289,139.9899403084,233.4351855267,12.5043192161,498.5356063152
2022-09-26,148.957792887,115.15,98.5664167893,135.9620266352,232.9740450711,12.2165879973,493.4396932038
2022-09-27,149.935893404,114.41,97.8481917099,133.9979202154,231.9536491693,12.4014153427,493.4493997049
2022-09-28,148.0389711891,118.01,100.4916590158,141.1863503103,236.5258077292,12.7241138971,498.8559208536
2022-09-29,140.7674360319,114.8,97.8481917099,136.0019069686,233.0231025664,12.2085954634,493.8958987585
2022-09-30,136.5388802612,113.0,95.9129741351,135.2740908841,228.5098130009,12.1276710581,490.2171348171
