date,AAPL,AMZN,AVGO,BRK-B,GOOG,JPM,LLY,META,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2022-10-26,147.7173948259,115.66,44.2378442381,288.52,94.586252808,117.7215998575,351.7227003541,129.4316220414,227.4158571156,12.8839645742,125.3899800149,224.64,527.2280237578,200.1094658497,100.186682368
2022-10-27,143.2171327137,110.96,43.6834083569,289.88,92.3717254801,118.1863777475,350.2189398568,97.6469963237,222.9229880726,13.1637032591,125.485131009,225.09,525.8982330982,201.0542604556,100.5700736296
2022-10-28,154.0375431549,103.41,45.3620637066,299.63,96.341914113,119.5901966806,353.7277143504,98.9032268257,231.8890637119,13.8210891687,128.6631742116,228.52,535.0611701976,206.024273747,103.5156406397
2022-10-31,151.6637785243,102.44,45.0953973139,295.09,94.4266472348,119.4004914194,355.8801558464,92.8812964827,228.2121862019,13.48440368,128.1398437441,227.54,538.856412153,203.8788026628,103.6185017099
2022-11-01,149.0031840008,96.79,44.8824478924,294.13,90.276902332,121.5536461344,346.5332523636,94.9151934859,224.3190217796,13.5303607497,128.3396608317,227.82,531.2465152399,203.6524456218,104.6471124118
2022-11-02,143.4446184908,92.12,43.7438399495,289.46,86.8553578569,120.4343850931,348.8724353593,90.2691346451,216.3852245856,13.2066631286,126.4937315463,214.98,527.480392788,197.767162556,102.4963809442
2022-11-03,137.3618466248,89.3,42.60139508,283.85,83.2841831569,120.6525461435,355.4771873472,88.6440110592,210.6339589616,13.4084746084,125.6278575001,215.31,527.655109809,191.6653640596,103.889680895
2022-11-04,137.0947981039,90.98,44.633047669,287.47,86.4862699689,123.953417689,351.2804178549,90.5183867289,217.6534523898,14.1427886563,127.9209964577,207.47,522.3747731755,193.8600431962,105.0211526671
2022-11-07,137.6297828631,90.53,45.5846054443,290.19,88.4314628921,124.6079008402,358.809048841,96.430646155,224.0240850809,14.2876533324,129.881106936,197.08,529.0237264732,196.9306256653,106.2648365158
2022-11-08,138.2043961229,89.98,46.2455160363,292.61,88.6908219485,124.6837829447,360.3717803382,96.1813940713,225.0072074098,14.5883724187,130.1760750177,191.3,536.8180469084,198.5840162256,106.6014727455
2022-11-09,133.6173971692,86.14,45.033047258,288.65,87.1845443516,123.0618029612,357.0399188443,101.166435746,220.7207940559,13.7631432982,129.8620767372,177.59,524.7916919655,191.3012244719,101.8324594911
2022-11-10,145.5059473733,96.63,48.5917965993,303.2,93.9378551669,128.1269334361,362.3964513345,111.5353224293,238.8790634703,15.7353010269,134.3341734595,190.72,528.1986738742,202.783441008,103.3286205121
2022-11-11,148.3096637964,100.79,49.6968314352,309.72,96.4915443379,128.3356092234,346.2580543641,112.6818820145,242.9393586885,16.3117625312,134.1343563719,195.97,506.7570128016,202.2211675179,106.5547177136
2022-11-14,146.9028520223,98.49,49.2296856322,308.91,95.7932699552,127.0171576579,350.9167633555,113.8782920164,237.47319854,16.2797923958,134.1438714714,190.95,498.6714973315,204.0559546963,106.8633009242
2022-11-15,148.6465060522,98.94,50.304025056,309.98,98.4766386544,126.0970871409,344.8950214466,116.7297358543,237.8861099181,16.6504461533,133.6776316003,194.42,488.2467150807,207.1435266687,107.5796818777
2022-11-16,147.4081154059,97.12,49.0867601196,308.76,98.7459730591,126.267821876,347.8319757655,112.8912537648,238.3186837428,15.895151704,134.8670190265,186.92,496.5069475718,207.2914933766,106.429701926
2022-11-17,149.3201905638,94.85,49.1232109215,307.44,98.2571809912,125.7176766184,355.5587280677,111.1165789286,238.2693893474,15.6623691555,134.0392053779,183.17,500.1857115132,208.1299713883,106.5710929037
2022-11-18,149.8848966985,94.14,49.4157765681,310.76,97.5589066085,126.9507608164,356.4457276942,111.7147839296,237.8158809103,15.3946192713,135.6567722774,180.19,514.444561724,207.9425468915,105.6473385162
2022-11-21,146.6353596427,92.46,49.6344813794,311.2,95.5937629887,126.2014250346,355.9529501239,109.5313356761,238.634167873,15.302705132,137.3790052705,167.87,502.0105337321,203.5232745477,104.6010452814
2022-11-22,148.7852058046,93.2,50.8440724628,315.76,97.0900652373,128.0889923838,355.6671391331,111.1066088453,241.5721138357,16.0230322457,138.5588775972,169.91,507.7373694192,207.4789178733,107.6268122036
2022-11-23,149.6669399447,94.13,51.1884366174,316.18,98.5763921376,129.4548702647,356.4950054512,111.9042155132,244.0861279983,16.5035833437,139.3486308482,183.2,514.1630731902,208.8599404808,107.0895264885
2022-11-25,146.7344308944,93.41,50.83064322,317.43,97.3593996421,129.7014871043,359.9740150975,111.0766985952,243.9973980867,16.2548157275,139.6055385322,182.86,521.8409156114,210.8920166031,106.7124838813
2022-11-28,142.8805592032,93.95,50.0920348661,313.27,96.0127276183,127.4345092326,360.4865037706,108.4545666744,238.34826038,15.8122291653,139.4913573393,182.92,516.6479374883,208.3963114626,103.5076217208
2022-11-29,139.8588860263,92.42,50.0133778726,315.13,95.2047244041,129.5307523692,358.6927934147,109.1325323421,236.9384406731,15.6244046197,138.4256662055,180.83,512.5032614911,206.2261330794,104.1957244788
2022-11-30,146.655173893,96.54,52.8565404192,318.6,101.1999087468,131.0673649852,365.7198015671,117.746684356,251.5394405748,16.9112025703,141.9272227881,194.7,531.6833077923,214.0585041531,104.949809693
2022-12-01,146.9325733978,95.5,52.8296819336,315.84,101.0303278253,129.2272239512,364.9806352116,120.0796838597,251.0957910166,17.12305478,142.0128586828,194.7,521.1517540287,214.0585041531,104.4408021734
