date,AAPL,AMZN,AVGO,BRK-B,GOOG,JPM,LLY,META,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2024-02-12,186.4747987752,172.34,125.1713700504,397.71,148.3633556226,172.7644501421,732.482824566,467.4972082516,413.0315791004,72.2300847822,154.2745514004,188.13,511.5787187281,273.4905165782,99.7691217125
2024-02-13,184.3724112496,168.64,123.8503915602,394.8,146.0091734181,171.2607832172,738.1558258522,458.7434750708,404.1395540627,72.1101145384,153.4497113318,184.02,510.797969196,274.2262674135,98.9181298824
2024-02-14,183.4856221985,170.98,124.8962898854,398.68,146.7772752391,173.0003194636,753.6944843664,471.8641047586,408.0385180614,73.8816751385,152.8212617557,188.71,510.8869153452,275.9662187132,98.4300791133
2024-02-15,183.1966684627,169.8,125.1782965294,403.45,143.5851637754,176.7742286083,754.1622405134,482.5819443592,405.1189037657,72.6399831152,154.1763561541,200.45,514.7807801002,279.3665806818,101.2510125587
2024-02-16,181.6522605648,169.51,123.2398719133,405.99,141.4105378408,175.9486859829,778.3263240201,471.903985092,402.6277652882,72.5949942737,154.6673323854,199.95,515.4429347667,276.9604765988,101.2510125587
2024-02-20,180.9049664206,167.08,121.3667540991,407.15,141.849453167,176.6366381707,752.0523617229,470.3386820062,401.3622669417,69.4347781017,155.649284848,193.76,514.9586723987,273.570057209,100.2944330513
2024-02-21,181.6622244867,168.59,121.4558088288,409.25,143.4854102922,177.7865011133,742.3489097381,467.1283151677,400.7544291532,67.4552690791,157.5051750024,194.77,515.8580167964,275.1708124048,102.3442462815
2024-02-22,183.7048284808,174.58,129.1194630662,415.16,144.9617618441,179.9191528955,765.9656190302,485.1934445494,410.1908617059,78.5185250612,157.6622873964,197.41,520.3349729741,282.1206750248,102.2563971431
2024-02-23,181.8615029251,174.99,128.2754221283,417.22,144.9318357991,180.8233186281,765.8660964458,483.0974903117,408.8855051437,78.7974558781,158.1238050538,191.97,521.0663079789,281.9715363419,101.3583837279
2024-02-26,180.5064095437,174.73,129.5380202957,409.14,138.4079579953,180.2041616591,768.2347339559,480.8119021192,406.0954300489,79.0723876868,157.3284235591,199.4,519.1687901287,282.518378179,101.7585853586
2024-02-27,181.9711060663,173.54,128.2615691703,408.91,139.754630019,180.2926126547,761.3477711113,486.1116721202,406.0356427255,78.6814846424,156.4250272935,199.73,507.4081326199,281.5440054511,101.5438430202
2024-02-28,180.7654715137,173.16,127.5877217157,412.14,137.0912120165,181.2066062756,754.0229088952,483.0875095773,406.2747920193,77.6437420335,157.1614916405,202.04,492.4454137389,283.9898798496,101.8269124663
2024-02-29,180.0978887449,176.76,128.6830948908,409.4,139.4354188726,182.8576915264,750.0818145506,489.1857383354,412.173807934,79.0923827274,156.071524407,201.88,487.8202139792,281.0170487718,102.0221327739
2024-03-01,179.0118212554,178.22,138.4474512517,407.11,137.7396096576,182.1009441198,778.3860375707,501.3322921794,414.0272149613,82.2585974116,155.9831486853,202.64,483.797871453,281.5340628723,103.3105868044
2024-03-04,174.4682728588,177.58,138.7532058236,403.39,133.8691745078,183.4670206071,788.4975321518,497.2302103142,413.4492708345,85.2158639212,156.6803349338,188.14,476.2275658633,278.9191646333,101.8659565278
2024-03-05,169.5062397415,174.12,132.8647091978,400.74,133.4502098782,185.3048357375,773.8776644947,489.2755649456,401.2227631869,85.9466826563,156.4446663427,180.74,467.6096722938,277.7757680649,103.1153664967
2024-03-06,168.5098475493,173.51,133.5820945202,403.96,132.2332173827,186.2679688004,776.0472568359,495.1342560766,400.664748168,88.6821314925,156.6901544584,176.54,467.066112493,278.8197388447,104.2183612349
2024-03-07,168.3902804862,176.82,139.2232168969,402.39,134.9066107335,184.6365393264,776.4353949153,511.2032385653,407.6897586745,92.6503319422,157.7212045441,178.65,473.1737480732,276.6621992331,104.8040221578
2024-03-08,170.1140389788,175.35,129.4974509189,403.15,135.9540223076,184.9805154203,758.5014251958,504.9752602591,404.7801089328,87.5103675904,157.4560773792,175.34,472.8476121927,278.4319782694,105.7898847114
2024-03-11,172.1267512071,171.96,127.9538356044,404.76,138.5974896134,185.0493106391,730.8640034916,482.6583379953,403.0861347681,85.7567209316,158.6344203344,177.77,485.3293524646,278.9489923699,106.4145896959
2024-03-12,172.6050194594,175.39,127.8311379769,404.98,139.2758132994,186.5726333407,751.3457513732,498.7872048908,413.8079947753,91.8944842375,159.0075622702,177.54,485.5277903068,282.2896988653,105.7313186191
2024-03-13,170.5125958557,176.555,124.4658586919,408.13,140.4229783567,188.086128154,754.2219540641,494.6152578844,413.6286328049,90.8696907225,159.3708846813,169.48,484.1883348722,283.5026934857,106.9124014804
2024-03-14,172.3758492552,178.75,124.9012373704,406.73,143.9841777084,184.7348182104,757.0981567549,490.8824631945,423.7127613618,87.9262837877,158.5853227112,162.5,485.180524083,284.7654010003,108.8060384645
2024-03-15,171.9972202221,174.42,122.2523539109,408.13,141.8195271221,187.024716207,750.5694752144,483.167355453,414.943953921,87.8188054435,158.4674884157,163.57,486.9863084467,281.414751926,108.6108181568
2024-03-18,173.0932516336,174.48,122.4245263883,408.41,148.1139719145,189.3440978689,759.018942635,496.022541444,415.8407637729,88.4371808474,158.3005564971,173.8,483.2457551219,283.413210276,109.6162027412
2024-03-19,175.4447372072,175.9,122.500717657,411.76,147.5553524083,190.4546492578,769.0906281823,495.2839670936,419.9162663221,89.3799908812,158.9093670239,171.32,489.4667814737,285.7000034127,110.3873229564
2024-03-20,178.0253929851,178.15,126.7793026696,416.11,149.3110137134,192.9509329108,769.1702462498,504.5460886771,423.7227259157,90.3537946701,159.0664794179,175.66,490.3696736555,287.6189211318,110.2897128026
2024-03-21,170.7517299818,178.15,133.9329937294,413.78,148.3733309709,195.6339464434,766.5826590539,506.7817731973,427.8480512345,91.41658053,158.9388255978,172.82,487.8495130601,288.7026622271,110.7777635717
2024-03-22,171.6584468767,178.87,134.4764755363,411.6,151.3958615131,193.2359416743,766.9309880995,508.5982668699,427.2202843382,94.2700055952,158.7424351052,170.83,486.2421665386,281.6334886608,110.7777635717
